cycle,i_ball_x,i_ball_y,i_ball_speed,i_ball_vel_angle,i_ball_r,i_ball_t,i_pass_origin_x,i_pass_origin_y,i_ball_dist_to_origin,i_expected_receive_position_x,i_expected_receive_position_y,i_receiver_x,i_receiver_y,i_receiver_unum,i_receiver_r,i_receiver_t,i_receiver_relative_to_ball_x,i_receiver_relative_to_ball_y,i_receiver_relative_to_ball_r,i_receiver_relative_to_ball_t,i_player_1_x,i_player_1_y,i_player_2_x,i_player_2_y,i_player_3_x,i_player_3_y,i_player_4_x,i_player_4_y,i_player_5_x,i_player_5_y,i_player_6_x,i_player_6_y,i_player_7_x,i_player_7_y,i_player_8_x,i_player_8_y,i_player_9_x,i_player_9_y,i_player_10_x,i_player_10_y,i_player_11_x,i_player_11_y,o_receive_position_x,o_receive_position_y,o_pass_distance
787,-3.4916,-31.6091,2.49364,115.674,31.8014,-96.3034,-3.4916,-31.6091,0,-7.43947,-23.3965,-9.41943,-22.6428,8,24.5239,-112.587,-5.92783,8.9663,10.7487,123.47,50.1134,-5.62667,8.84247,-8.37937,7.51965,-22.099,4.82282,6.65512,-2.30805,-34.4004,-2.24872,-16.7393,-5.88668,0.135112,-9.41943,-22.6428,-23.5004,5.29745,-26.2134,-30.7404,-22.4257,-14.0224,-7.58941,-23.8583,8.76738
788,-4.60454,-29.4585,2.27623,117.361,29.8162,-98.8838,-3.4916,-31.6091,2.42151,-7.55848,-23.7504,-9.41943,-22.6428,8,24.5239,-112.587,-4.81489,6.8157,8.34487,125.239,50.1134,-5.62667,8.84247,-8.37937,7.51965,-22.099,4.82282,6.65512,-2.30805,-34.4004,-2.24871,-16.7393,-5.88668,0.135112,-9.41943,-22.6428,-23.5004,5.29745,-26.2134,-30.7404,-22.4257,-14.0224,-7.58941,-23.8583,6.346
789,-5.58989,-27.4904,2.06892,116.596,28.053,-101.494,-3.4916,-31.6091,4.62239,-7.38679,-23.9014,-8.87653,-22.7204,8,24.3928,-111.34,-3.28664,4.77,5.79266,124.568,50.1134,-5.62667,9.01994,-8.05727,7.51965,-22.099,4.82282,6.65512,-2.24319,-34.3295,-2.02454,-16.4368,-5.88668,0.135112,-8.87653,-22.7204,-23.1125,5.64984,-25.671,-30.6287,-21.852,-14.242,-7.58941,-23.8583,4.14611
790,-6.60653,-25.6185,2.00232,118.507,26.4566,-104.46,-3.4916,-31.6091,6.75204,-7.56217,-23.8589,-8.19906,-22.8266,8,24.2544,-109.758,-1.59253,2.7919,3.21417,119.701,50.1134,-5.62667,9.26318,-7.58956,7.71696,-21.7741,4.82282,6.65512,-2.1604,-34.2333,-1.67651,-16.0062,-6.22491,0.229133,-8.19906,-22.8266,-22.5603,6.14875,-24.9024,-30.4895,-21.0297,-14.5099,-7.58941,-23.8583,2.01603
791,-7.58941,-23.8583,0,0,25.0363,-107.646,-3.4916,-31.6091,8.76738,-7.58941,-23.8583,-7.97483,-22.8696,8,24.2202,-109.224,-0.38542,0.9887,1.06117,111.297,50.1134,-5.62667,9.58312,-7.02791,8.07928,-21.2531,4.82282,6.65512,-2.06768,-34.1226,-1.34801,-15.4963,-6.69731,0.354483,-7.97483,-22.8696,-22.2743,6.36174,-24.0285,-30.3526,-20.1326,-14.7769,-7.58941,-23.8583,0
808,3.60638,-21.7203,2.225,-173.412,22.0177,-80.5728,3.60638,-21.7203,0,1.39607,-21.9756,-0.267138,-22.1016,8,22.1032,-90.6925,-3.87352,-0.3813,3.89224,-174.378,50.1134,-5.62667,15.8678,-4.24236,6.34035,-21.2994,11.2101,9.60066,-0.0539879,-32.8396,7.76542,-12.3279,0.739182,4.28976,-0.267138,-22.1016,-10.6902,14.5067,-10.136,-29.2762,-7.51348,-10.1308,1.38962,-21.9899,2.23309
809,1.38962,-21.9899,0,0,22.0338,-86.3841,3.60638,-21.7203,2.23309,1.38962,-21.9899,-0.140236,-22.0797,8,22.0801,-90.3639,-1.52986,-0.0898,1.53249,-176.641,50.1134,-5.62667,15.6964,-4.18527,6.19227,-21.4346,11.2262,9.60477,0.0834328,-32.7681,8.02243,-12.2603,1.04893,4.47923,-0.140236,-22.0797,-10.0515,14.9636,-9.7717,-29.3355,-7.39218,-10.0719,1.38962,-21.9899,0
814,-3.05099,-24.0653,2.00123,-135.966,24.2579,-97.2254,-3.05099,-24.0653,0,-7.11342,-27.993,-9.7835,-28.8949,10,30.5063,-108.706,-6.73251,-4.8296,8.28563,-144.346,50.1134,-5.62667,15.5457,-4.12391,7.99203,-20.3578,11.2341,9.60662,0.733824,-32.3757,7.25934,-12.2261,-0.00697394,4.04672,-0.713117,-22.426,-9.44809,15.3733,-9.7835,-28.8949,-9.41156,-11.9705,-8.57524,-30.3009,8.33067
815,-4.3957,-25.4514,1.81537,-134.13,25.8282,-99.7989,-3.05099,-24.0653,1.9312,-7.96479,-29.1306,-9.41629,-28.4745,10,29.9911,-108.299,-5.02059,-3.0231,5.8605,-148.946,50.1134,-5.62667,15.5436,-4.1233,8.71055,-19.9661,11.2341,9.60662,1.13716,-32.1482,6.7092,-12.2308,-0.595986,3.73009,-0.762803,-22.4613,-9.43929,15.3786,-9.41629,-28.4745,-9.59385,-12.1377,-8.57524,-30.3009,6.40205
816,-5.59838,-26.7947,1.69481,-131.84,27.3733,-101.801,-3.05099,-24.0653,3.73347,-8.79052,-30.3599,-9.2775,-28.2942,10,29.7764,-108.154,-3.67912,-1.4995,3.97296,-157.826,50.1134,-5.62667,15.169,-4.07267,9.38058,-19.5478,10.7652,9.60261,1.58533,-31.8896,6.05862,-12.2788,-1.21081,3.45348,-0.778772,-22.4734,-9.43497,15.3813,-9.2775,-28.2942,-9.67116,-12.2143,-8.57524,-30.3009,4.59947
